pivot_id,area_ha,season,aeti_mm,npp_gC_m2,pcp_mm,is_active,biomass_dry_kg_ha,water_consumed_m3_ha,cwp,niwr_mm,demand_vol_m3,abstraction_vol_m3
66,62.90733362,2022/23,0,0,0.1,0,0,0,,0,0,0
67,48.87320748,2022/23,401.9260909,283.6087264,0.1,1,6296.113725,4019.260909,1.566485448,401.8460909,196395.0738,231053.028
68,62.6458772,2022/23,385.2255066,268.4872187,0.1,1,5960.416256,3852.255066,1.547253791,385.1455066,241277.7811,283856.2131
69,36.28872591,2022/23,437.0318012,567.9516733,0.1,1,12608.52715,4370.318012,2.885036538,436.9518012,158564.2415,186546.1665
70,49.27115811,2022/23,425.8003613,302.7681942,0.1,1,6721.453912,4258.003613,1.578545845,425.7203613,209757.3524,246773.3557
71,61.23499562,2022/23,459.7137114,355.7466202,0.1,1,7897.574969,4597.137114,1.717933308,459.6337114,281456.683,331125.5095
72,63.05429795,2022/23,279.5961911,177.7805111,0.1,1,3946.727346,2795.961911,1.411581227,279.5161911,176246.972,207349.3788
73,35.8829039,2022/23,391.6462406,271.0845376,0.1,1,6018.076735,3916.462406,1.536610367,391.5662406,140505.3378,165300.3974
74,64.26597942,2022/23,402.3111793,286.1721561,0.1,1,6353.021865,4023.111793,1.579131327,402.2311793,258497.8069,304115.067
75,64.53642991,2022/23,330.8900883,431.0005336,0.1,1,9568.211846,3308.900883,2.891658646,330.8100883,213493.0207,251168.2597
76,61.37977771,2022/23,0,0,0.1,0,0,0,,0,0,0
77,37.52571147,2022/23,383.0989183,469.579726,0.1,1,10424.66992,3830.989183,2.721143135,383.0189183,143730.5741,169094.7931
78,35.95299998,2022/23,303.8081967,406.2558436,0.1,1,9018.879729,3038.081967,2.968609743,303.7281967,109199.3985,128469.8806
79,49.18550887,2022/23,325.2675383,428.1405365,0.1,1,9504.719911,3252.675383,2.922123726,325.1875383,159945.1455,188170.7594
80,62.03233184,2022/23,345.6623938,452.5189582,0.1,1,10045.92087,3456.623938,2.906281115,345.5823938,214372.8173,252203.3144
81,61.02630943,2022/23,382.2023758,268.5234888,0.1,1,5961.221452,3822.023758,1.559702877,382.1223758,233195.1835,274347.2746
82,64.2145049,2022/23,0,0,0.1,0,0,0,,0,0,0
83,36.91685806,2022/23,398.2079365,284.9490549,0.1,1,6325.86902,3982.079365,1.588584365,398.1279365,146976.3252,172913.3238
84,64.94270536,2022/23,401.5132975,284.1500087,0.1,1,6308.130194,4015.132975,1.571088737,401.4332975,260701.6436,306707.816
85,65.13599986,2022/23,387.1351478,269.956422,0.1,1,5993.032569,3871.351478,1.54804662,387.0551478,252112.2406,296602.636
86,35.87204308,2022/23,381.4526976,266.2716951,0.1,1,5911.231631,3814.526976,1.549663082,381.3726976,136806.1784,160948.4451
87,62.99438139,2022/23,370.8354906,253.0915045,0.1,1,5618.6314,3708.354906,1.515127743,370.7554906,233555.1278,274770.7385
88,63.09364339,2022/23,370.0446453,254.7121926,0.1,1,5654.610676,3700.446453,1.528088772,369.9646453,233424.174,274616.6753
89,62.41568549,2022/23,277.3927922,367.2014836,0.1,1,8151.872935,2773.927922,2.938747208,277.3127922,173086.6802,203631.3885
90,62.54465096,2022/23,0,0,0.1,0,0,0,,0,0,0
91,34.60250047,2022/23,291.4726797,381.3341634,0.1,1,8465.618427,2914.726797,2.904429477,291.3926797,100829.1534,118622.5334
92,64.73269752,2022/23,0,0,0.1,0,0,0,,0,0,0
93,62.25829852,2022/23,410.3146273,524.3608347,0.1,1,11640.81053,4103.146273,2.837044979,410.2346273,255405.0989,300476.5869
94,49.01983643,2022/23,367.4729412,292.679571,0.1,1,6497.486477,3674.729412,1.768153719,367.3929412,180095.4188,211876.9633
95,61.89938544,2022/23,353.6887473,281.8799144,0.1,1,6257.734099,3536.887473,1.769277125,353.6087473,218881.6415,257507.8135
96,33.91509447,2022/23,330.752139,423.2087941,0.1,1,9395.235229,3307.52139,2.840566733,330.672139,112147.7684,131938.551
97,63.44847688,2022/23,302.757989,397.6400248,0.1,1,8827.60855,3027.57989,2.915731004,302.677989,192044.5739,225934.7928
98,63.839698,2022/23,369.0271291,475.3978688,0.1,1,10553.83269,3690.271291,2.859906997,368.9471291,235534.733,277099.6859
99,60.19458995,2022/23,0,0,0.1,0,0,0,,0,0,0
100,49.71905566,2022/23,0,0,0.1,0,0,0,,0,0,0
101,63.61366927,2022/23,0,0,0.1,0,0,0,,0,0,0
102,35.93250446,2022/23,355.7218987,246.0483076,0.1,1,5462.272429,3557.218987,1.535545731,355.6418987,127791.0411,150342.4013
103,37.07810111,2022/23,291.7612667,189.1455505,0.1,1,4199.031222,2917.612667,1.439201053,291.6812667,108149.875,127235.1471
104,64.61613574,2022/23,355.3408814,243.6981498,0.1,1,5410.098926,3553.408814,1.52250957,355.2608814,229555.8533,270065.7098
105,62.39247269,2022/23,0,0,0.1,0,0,0,,0,0,0
106,64.89027087,2022/23,365.2604195,248.3311035,0.1,1,5512.950498,3652.604195,1.50932053,365.1804195,236966.5634,278784.1922
107,64.32815624,2022/23,0,0,0.1,0,0,0,,0,0,0
108,36.65693609,2022/23,360.0121137,246.8013523,0.1,1,5478.990021,3600.121137,1.521890462,359.9321137,131940.0849,155223.6293
109,36.27181097,2022/23,0,0,0.1,0,0,0,,0,0,0
110,64.41364628,2022/23,0,0,0.1,0,0,0,,0,0,0
111,35.88828365,2022/23,363.4862155,245.771995,0.1,1,5456.138289,3634.862155,1.501057827,363.4062155,130420.2534,153435.5923
112,50.73460601,2022/23,343.6993037,237.6728842,0.1,1,5276.33803,3436.993037,1.535161105,343.6193037,174333.8999,205098.7058
113,64.88182917,2022/23,0,0,0.1,0,0,0,,0,0,0
114,63.32738244,2022/23,312.9715172,214.8643262,0.1,1,4769.988042,3129.715172,1.524096532,312.8915172,198146.0077,233112.9503
115,64.93592878,2022/23,0,0,0.1,0,0,0,,0,0,0
116,66.85106456,2022/23,0,0,0.105963423,0,0,0,,0,0,0
117,38.06870885,2022/23,332.5371598,228.9001574,0.1,1,5081.583494,3325.371598,1.528125006,332.4571598,126562.1482,148896.645
